FID,IDtramMucN,tenTram,gio,ngay,toaDoX,toaDoY,mucNuoc,doCaoDinhT,doCaoChanT,baoDongI,baoDongII,baoDongIII,maXa,maHuyen,ghiChu,kinhDo,viDo,day,month,year
57,MN58,Phú An, ,2008-03-29,0,0,0,0.7,-1.5,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,29,3,2008
58,MN59,Phú An, ,2008-03-30,0,0,0,0.62,-1.61,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,30,3,2008
59,MN60,Phú An, ,2008-03-31,0,0,0,0.82,-1.5,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,31,3,2008
60,MN61,Phú An, ,2008-04-01,0,0,0,1.08,-1.54,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,1,4,2008
61,MN62,Phú An, ,2008-04-02,0,0,0,0.96,-1.65,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,2,4,2008
62,MN63,Phú An, ,2008-04-03,0,0,0,1.04,-1.54,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,3,4,2008
63,MN64,Phú An, ,2008-04-04,0,0,0,1.14,-1.32,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,4,4,2008
64,MN65,Phú An, ,2008-04-05,0,0,0,1.24,-1.17,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,5,4,2008
65,MN66,Phú An, ,2008-04-06,0,0,0,1.22,-1.18,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,6,4,2008
66,MN67,Phú An, ,2008-04-07,0,0,0,1.23,-0.88,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,7,4,2008
67,MN68,Phú An, ,2008-04-08,0,0,0,1.28,-0.61,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,8,4,2008
68,MN69,Phú An, ,2008-04-09,0,0,0,1.24,-1.51,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,9,4,2008
69,MN70,Phú An, ,2008-04-10,0,0,0,1.16,-1.74,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,10,4,2008
70,MN71,Phú An, ,2008-04-11,0,0,0,1.04,-1.86,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,11,4,2008
71,MN72,Phú An, ,2008-04-12,0,0,0,0.86,-1.92,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,12,4,2008
72,MN73,Phú An, ,2008-04-13,0,0,0,0.82,-1.87,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,13,4,2008
73,MN74,Phú An, ,2008-04-14,0,0,0,0.5,-1.8,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,14,4,2008
74,MN75,Phú An, ,2008-04-15,0,0,0,1.06,-1.52,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,15,4,2008
75,MN76,Phú An, ,2008-04-16,0,0,0,1.07,-1.5,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,16,4,2008
76,MN77,Phú An, ,2008-04-17,0,0,0,0.77,-1.32,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,17,4,2008
77,MN78,Phú An, ,2008-04-18,0,0,0,0.92,-0.94,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,18,4,2008
78,MN79,Phú An, ,2008-04-19,0,0,0,1.06,-0.97,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,19,4,2008
79,MN80,Phú An, ,2008-04-20,0,0,0,1.12,-1.21,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,20,4,2008
80,MN81,Phú An, ,2008-04-21,0,0,0,1.18,-0.46,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,21,4,2008
81,MN82,Phú An, ,2008-04-22,0,0,0,1.17,-1.33,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,22,4,2008
82,MN83,Phú An, ,2008-04-23,0,0,0,1.1,-1.37,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,23,4,2008
83,MN84,Phú An, ,2008-04-24,0,0,0,1.11,-1.42,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,24,4,2008
84,MN85,Phú An, ,2008-04-25,0,0,0,1.08,-1.17,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,25,4,2008
85,MN86,Phú An, ,2008-04-26,0,0,0,0.96,-1.32,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,26,4,2008
86,MN87,Phú An, ,2008-04-27,0,0,0,0.9,-1.43,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,27,4,2008
87,MN88,Phú An, ,2008-04-28,0,0,0,1.02,-1.38,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,28,4,2008
88,MN89,Phú An, ,2008-04-29,0,0,0,1.02,-1.28,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,29,4,2008
89,MN90,Phú An, ,2008-04-30,0,0,0,1.08,-1.28,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,30,4,2008
90,MN91,Phú An, ,2008-05-01,0,0,0,1.09,-1.3,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,1,5,2008
91,MN92,Phú An, ,2008-05-02,0,0,0,1.15,-1.22,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,2,5,2008
92,MN93,Phú An, ,2008-05-03,0,0,0,0.83,-1.04,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,3,5,2008
93,MN94,Phú An, ,2008-05-04,0,0,0,1.08,-0.96,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,4,5,2008
94,MN95,Phú An, ,2008-05-05,0,0,0,1.16,-0.74,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,5,5,2008
95,MN96,Phú An, ,2008-05-06,0,0,0,1.25,-0.49,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,6,5,2008
96,MN97,Phú An, ,2008-05-07,0,0,0,1.22,-0.23,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,7,5,2008
97,MN98,Phú An, ,2008-05-08,0,0,0,1.24,-0.04,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,8,5,2008
98,MN99,Phú An, ,2008-05-09,0,0,0,1.14,-2.02,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,9,5,2008
99,MN100,Phú An, ,2008-05-10,0,0,0,1.04,-2.08,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,10,5,2008
100,MN101,Phú An, ,2008-05-11,0,0,0,0.74,-2.04,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,11,5,2008
101,MN102,Phú An, ,2008-05-12,0,0,0,0.88,-1.94,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,12,5,2008
102,MN103,Phú An, ,2008-05-13,0,0,0,0.89,-1.76,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,13,5,2008
103,MN104,Phú An, ,2008-05-14,0,0,0,1.04,-1.3,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,14,5,2008
104,MN105,Phú An, ,2008-05-15,0,0,0,1.19,-1,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,15,5,2008
105,MN106,Phú An, ,2008-05-16,0,0,0,0.8,-1.01,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,16,5,2008
106,MN107,Phú An, ,2008-05-17,0,0,0,0.88,-1.25,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,17,5,2008
107,MN108,Phú An, ,2008-05-18,0,0,0,1.04,-1.49,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,18,5,2008
108,MN109,Phú An, ,2008-05-19,0,0,0,1.06,-1.7,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,19,5,2008
109,MN110,Phú An, ,2008-05-20,0,0,0,1,-1.86,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,20,5,2008
110,MN111,Phú An, ,2008-05-21,0,0,0,1,0,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,21,5,2008
111,MN112,Phú An, ,2008-05-22,0,0,0,1.02,-1.92,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,22,5,2008
